entity_id,state,last_changed
sensor.washing_machine_power,47.381,2025-09-17T17:19:00.627Z
sensor.washing_machine_power,34.239,2025-09-17T17:19:05.502Z
sensor.washing_machine_power,47.773,2025-09-17T17:19:10.564Z
sensor.washing_machine_power,4.83,2025-09-17T17:19:15.681Z
sensor.washing_machine_power,40.776,2025-09-17T17:19:20.651Z
sensor.washing_machine_power,61.528,2025-09-17T17:19:25.693Z
sensor.washing_machine_power,70.385,2025-09-17T17:19:30.754Z
sensor.washing_machine_power,30.973,2025-09-17T17:19:35.796Z
sensor.washing_machine_power,47.915,2025-09-17T17:19:40.851Z
sensor.washing_machine_power,4.703,2025-09-17T17:19:45.912Z
sensor.washing_machine_power,37.915,2025-09-17T17:19:51.023Z
sensor.washing_machine_power,50.859,2025-09-17T17:19:56.487Z
sensor.washing_machine_power,48.161,2025-09-17T17:20:01.043Z
sensor.washing_machine_power,55.264,2025-09-17T17:20:06.112Z
sensor.washing_machine_power,29.003,2025-09-17T17:20:16.227Z
sensor.washing_machine_power,56.384,2025-09-17T17:20:21.250Z
sensor.washing_machine_power,52.542,2025-09-17T17:20:26.378Z
sensor.washing_machine_power,57.587,2025-09-17T17:20:31.395Z
sensor.washing_machine_power,69.174,2025-09-17T17:20:36.449Z
sensor.washing_machine_power,46.399,2025-09-17T17:20:41.462Z
sensor.washing_machine_power,36.502,2025-09-17T17:20:46.522Z
sensor.washing_machine_power,61.223,2025-09-17T17:20:51.596Z
sensor.washing_machine_power,50.747,2025-09-17T17:20:56.635Z
sensor.washing_machine_power,58.005,2025-09-17T17:21:01.666Z
sensor.washing_machine_power,37.602,2025-09-17T17:21:06.739Z
sensor.washing_machine_power,41.002,2025-09-17T17:21:11.782Z
sensor.washing_machine_power,49.476,2025-09-17T17:21:16.829Z
sensor.washing_machine_power,4.834,2025-09-17T17:21:21.895Z
sensor.washing_machine_power,56.384,2025-09-17T17:21:26.934Z
sensor.washing_machine_power,59.51,2025-09-17T17:21:31.996Z
sensor.washing_machine_power,56.083,2025-09-17T17:21:42.089Z
sensor.washing_machine_power,48.599,2025-09-17T17:21:47.148Z
sensor.washing_machine_power,4.816,2025-09-17T17:21:52.201Z
sensor.washing_machine_power,50.323,2025-09-17T17:21:57.255Z
sensor.washing_machine_power,61.748,2025-09-17T17:22:02.275Z
sensor.washing_machine_power,58.197,2025-09-17T17:22:07.344Z
sensor.washing_machine_power,50.342,2025-09-17T17:22:17.445Z
sensor.washing_machine_power,4.754,2025-09-17T17:22:22.514Z
sensor.washing_machine_power,54.655,2025-09-17T17:22:27.567Z
